time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
12.000000,UT,4,FORWARD_USER_CH,0,19,23.598520,182.332588,0.000000,-93.726176,23.598520,270
12.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
12.000000,GW,1,RETURN_FEEDER_CH,0,1,21.903092,183.734099,0.000000,-84.922261,21.903092,360
12.000000,GW,2,RETURN_FEEDER_CH,0,2,21.789695,185.023905,0.000000,-88.344189,21.789695,780
12.500000,UT,1,FORWARD_USER_CH,0,18,24.649017,183.718810,0.000000,-79.843842,24.649017,330
12.500000,UT,2,FORWARD_USER_CH,0,18,24.642242,183.200000,0.000000,-80.389035,24.642242,330
12.500000,UT,3,FORWARD_USER_CH,0,18,24.627171,184.102297,0.000000,-81.403567,24.627171,330
12.500000,UT,4,FORWARD_USER_CH,0,19,23.591504,182.316421,0.000000,-93.757408,23.591504,300
12.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
12.500000,GW,1,RETURN_FEEDER_CH,0,1,21.899901,183.731288,0.000000,-85.064547,21.899901,390
12.500000,GW,2,RETURN_FEEDER_CH,0,2,21.783479,185.024358,0.000000,-88.473823,21.783479,810
13.000000,UT,1,FORWARD_USER_CH,0,18,24.649241,183.708460,0.000000,-79.824575,24.649241,330
13.000000,UT,2,FORWARD_USER_CH,0,31,24.643958,183.134878,0.000000,-80.257240,24.643958,330
13.000000,UT,3,FORWARD_USER_CH,0,18,24.627730,184.091517,0.000000,-81.369784,24.627730,330
13.000000,UT,4,FORWARD_USER_CH,0,19,23.585129,182.300238,0.000000,-93.785639,23.585129,300
13.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
13.000000,GW,1,RETURN_FEEDER_CH,0,1,21.899901,183.728500,0.000000,-85.064547,21.899901,420
13.000000,GW,2,RETURN_FEEDER_CH,0,2,21.777090,185.024829,0.000000,-88.603329,21.777090,840
13.500000,UT,1,FORWARD_USER_CH,0,18,24.649459,183.698118,0.000000,-79.805780,24.649459,360
13.500000,UT,2,FORWARD_USER_CH,0,31,24.644998,183.124189,0.000000,-80.175356,24.644998,360
13.500000,UT,3,FORWARD_USER_CH,0,18,24.628278,184.080741,0.000000,-81.336470,24.628278,360
13.500000,UT,4,FORWARD_USER_CH,0,19,23.577690,182.284040,0.000000,-93.818397,23.577690,330
13.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
13.500000,GW,1,RETURN_FEEDER_CH,0,1,21.896529,183.725734,0.000000,-85.210149,21.896529,450
13.500000,GW,2,RETURN_FEEDER_CH,0,2,21.770387,185.025318,0.000000,-88.735387,21.770387,870
14.000000,UT,1,FORWARD_USER_CH,0,18,24.649670,183.687783,0.000000,-79.787453,24.649670,360
14.000000,UT,2,FORWARD_USER_CH,0,31,24.646010,183.113510,0.000000,-80.094226,24.646010,360
14.000000,UT,3,FORWARD_USER_CH,0,18,24.628814,184.069966,0.000000,-81.303618,24.628814,360
14.000000,UT,4,FORWARD_USER_CH,0,19,23.569137,182.267827,0.000000,-93.855832,23.569137,330
14.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
14.000000,GW,1,RETURN_FEEDER_CH,0,1,21.894770,183.722992,0.000000,-85.284244,21.894770,480
14.000000,GW,2,RETURN_FEEDER_CH,0,2,21.763346,185.025825,0.000000,-88.870112,21.763346,900
14.500000,UT,1,FORWARD_USER_CH,0,18,24.649876,183.677456,0.000000,-79.769591,24.649876,390
14.500000,UT,2,FORWARD_USER_CH,0,31,24.646994,183.102842,0.000000,-80.013834,24.646994,390
14.500000,UT,3,FORWARD_USER_CH,0,18,24.629339,184.059195,0.000000,-81.271222,24.629339,390
14.500000,UT,4,FORWARD_USER_CH,0,19,23.559407,182.251600,0.000000,-93.898114,23.559407,360
14.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
14.500000,GW,1,RETURN_FEEDER_CH,0,1,21.892959,183.720273,0.000000,-85.359230,21.892959,510
14.500000,GW,2,RETURN_FEEDER_CH,0,2,21.755943,185.026351,0.000000,-89.007625,21.755943,930
15.000000,UT,1,FORWARD_USER_CH,0,18,24.650075,183.667137,0.000000,-79.752193,24.650075,390
15.000000,UT,2,FORWARD_USER_CH,0,31,24.647952,183.092183,0.000000,-79.934161,24.647952,390
15.000000,UT,3,FORWARD_USER_CH,0,18,24.629853,184.048426,0.000000,-81.239276,24.629853,390
15.000000,UT,4,FORWARD_USER_CH,0,19,23.548432,182.235357,0.000000,-93.945433,23.548432,360
15.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
15.000000,GW,1,RETURN_FEEDER_CH,0,1,21.891031,183.717577,0.000000,-85.437736,21.891031,540
15.000000,GW,2,RETURN_FEEDER_CH,0,2,21.748150,185.026895,0.000000,-89.148059,21.748150,960
15.500000,UT,1,FORWARD_USER_CH,0,18,24.650268,183.656825,0.000000,-79.735257,24.650268,420
15.500000,UT,2,FORWARD_USER_CH,0,31,24.648884,183.081535,0.000000,-79.855193,24.648884,420
15.500000,UT,3,FORWARD_USER_CH,0,18,24.630355,184.037659,0.000000,-81.207774,24.630355,420
15.500000,UT,4,FORWARD_USER_CH,0,19,23.536131,182.219100,0.000000,-93.998001,23.536131,390
15.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
15.500000,GW,1,RETURN_FEEDER_CH,0,1,21.889011,183.714903,0.000000,-85.518515,21.889011,570
15.500000,GW,2,RETURN_FEEDER_CH,0,2,21.739938,185.027456,0.000000,-89.291557,21.739938,990
16.000000,UT,1,FORWARD_USER_CH,0,18,24.650456,183.646522,0.000000,-79.718780,24.650456,420
16.000000,UT,2,FORWARD_USER_CH,0,31,24.649792,183.070898,0.000000,-79.776914,24.649792,420
16.000000,UT,3,FORWARD_USER_CH,0,18,24.630848,184.026896,0.000000,-81.176710,24.630848,420
16.000000,UT,4,FORWARD_USER_CH,0,19,23.522413,182.202828,0.000000,-94.056059,23.522413,390
16.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
16.000000,GW,1,RETURN_FEEDER_CH,0,1,21.886899,183.712253,0.000000,-85.601435,21.886899,600
16.000000,GW,2,RETURN_FEEDER_CH,0,2,21.731657,185.028037,0.000000,-89.431873,21.731657,1020
16.500000,UT,1,FORWARD_USER_CH,0,18,24.650637,183.636226,0.000000,-79.702761,24.650637,450
16.500000,UT,2,FORWARD_USER_CH,0,31,24.650676,183.060271,0.000000,-79.699310,24.650676,450
